"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}"
0.0282093808857427,22.113006296645,0.88325676811093,0.0259276046742538,-0.00291381124324222,1.58605216395147,-0.0737566205948819,0.0982669612212708,0.00254839799428269,0.282812516392797,0.00667369577537897,0.519911509868922,0.00598283210721338,0.192388127487313,-0.00085557679890063
0.0299878609437398,21.4055292097996,0.855278460661087,0.028799090722462,-0.00304190421406012,1.64244244239498,-0.0703183249958081,0.0982592384155401,0.00283055930834346,0.282792081111588,0.00741706908861042,0.519890984147797,0.00669583471174337,0.199228268262511,-0.000815692569951374
0.0317663410017369,20.7311739675944,0.828590778456891,0.0317674584800867,-0.00316402478353955,1.69503612782736,-0.0670389539279914,0.0982504033959581,0.00312221596490525,0.282768704121751,0.00818569401312036,0.519867517312428,0.00743550498864159,0.205607882305459,-0.0007776518655647
0.0335448210597341,20.0884883585593,0.803137966612235,0.0348261572274362,-0.00328044774856791,1.74401119499413,-0.063911557918384,0.0982403938955414,0.00342271927695923,0.282742220758797,0.00897784850193868,0.519840945003388,0.00820005573577005,0.211548557952788,-0.000741374071853254
0.0351424058904371,19.5370160604171,0.781282657182487,0.0376455554120339,-0.00338039009710977,1.78506143388537,-0.0612263152326998,0.0982303534433226,0.00369968409461239,0.282715656497923,0.00970812191613064,0.519814301823952,0.00890663295054866,0.216527951930295,-0.000710225256699318
0.0367399907211401,19.0089911092188,0.760343359471936,0.0405283897688594,-0.00347613321877222,1.82344975722107,-0.0586536698533325,0.0982192796987954,0.00398285016662617,0.282686359321423,0.0104548935897961,0.519784926823685,0.00963070406347682,0.221184455550915,-0.000680382570298657
0.038337575551843,18.5034732190733,0.740284271670787,0.0434704693535614,-0.00356785459511949,1.85929114831211,-0.0561891541914813,0.0982071367690365,0.00427180144994544,0.282654234306914,0.011217059039491,0.519752725216046,0.0103711225097278,0.225532016290259,-0.000651794188621183
0.039935160382546,18.0195650823933,0.721071257247459,0.0464678158292021,-0.00365572345018902,1.8926952296019,-0.0538285084738008,0.0981938915688422,0.0045661426353614,0.282619193956385,0.011993568811157,0.519717609618731,0.0111267987117515,0.229583931350711,-0.000624410698296089
0.041532745213249,17.5564148555955,0.702672015458048,0.0495166756022873,-0.0037399002837502,1.92376595341625,-0.0515677001270538,0.0981795136792507,0.00486550035513489,0.282581157822275,0.0127834316849307,0.519679499682651,0.0118967033947467,0.233352810149391,-0.000598185321473823
0.043130330043952,17.1130136580024,0.685048228410376,0.0526126196874384,-0.00382057509607764,1.95262635274981,-0.0494019473606494,0.0981639798677173,0.00516943483665161,0.28254006446006,0.0135854801268655,0.519638334012228,0.0126796239753552,0.236853576588552,-0.000573062589383533
0.044727914874655,16.6886924383813,0.668174589548486,0.0557527291818822,-0.00389787379261147,1.9793579272397,-0.0473280899917912,0.0981472633408413,0.00547765448924549,0.282495843010318,0.0143989400067579,0.519594041832646,0.0134747564707853,0.240096116574175,-0.000549005843904778
0.046325499705358,16.282727108405,0.652023781435915,0.0589338576742082,-0.0039719325808224,2.0040488177757,-0.0453427152394796,0.0981293416434151,0.0057898453027617,0.282448434085366,0.0152229776597437,0.519546563813574,0.0142812349210299,0.243091121596193,-0.000525975496777963
0.0477633260529907,15.9324864225457,0.638084726862469,0.0618294947712975,-0.00403592183323193,2.02459470087619,-0.0436288635200872,0.0981121649830441,0.00607396759457354,0.28240299656311,0.0159730056631954,0.51950106554449,0.0150160911943509,0.245583337216281,-0.000506094816833012
0.0492011524006234,15.5959889905544,0.624688728430082,0.0647535022497921,-0.00409749825918861,2.04362440668285,-0.0419813815470652,0.098093985261318,0.00636082192427355,0.282354906111986,0.0167303150632264,0.519452915720497,0.0157588009445162,0.247891640530629,-0.000486984025945956
0.0506389787482561,15.2727568411575,0.611817756935657,0.067703833409437,-0.00415675166054286,2.06119596582431,-0.0403980173908514,0.0980747918304402,0.0066502035619843,0.28230413457061,0.0174943623001195,0.519402086197383,0.0165087993195994,0.250023070654489,-0.000468617001733876
