"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}","ReferenciaTheta1\position","ReferenciaTheta2\position"
0.289843463984512,10.5197506659193,0.439671570503265,0.297378394639044,-0.000146951019316104,0.830288597219038,0.000624595776296823,0.0939854107647348,0.0288033429202944,0.271488064847666,0.0761804512944729,0.508588062287626,0.0761456092079184,0.100714006842669,7.24531100504315e-006,4.25619345677795,0.125071236062141,0.523511795183688,0.0153837620356433,0.25,0
0.298418196263205,10.503892189967,0.44002689684857,0.304443800593133,-0.000141655571990899,0.817561188981323,0.000610405737272043,0.0937795592830683,0.029466663548381,0.270943595025559,0.077935032003781,0.508043592646699,0.0779014454677743,0.0991701722234345,7.08070655235569e-006,4.25011196241918,0.125172972907835,0.522763771377559,0.0153962756676637,0.25,0
0.315567660820592,10.4711935911956,0.440721683266026,0.318251172180098,-0.000131424925650945,0.792753832801733,0.000582797259874579,0.0933637759471868,0.0307586628591605,0.269843862938227,0.0813525584605819,0.506943860890571,0.0813213976107997,0.0961610399188502,6.76044821454511e-006,4.23752567644216,0.125371951818863,0.521215658202386,0.0154207500737202,0.25,0
0.332717125377978,10.437347567224,0.44139553872438,0.331639725654592,-0.00012165970193504,0.768780125426263,0.000556199828677483,0.0929436064872902,0.0320058746660007,0.268732529705354,0.0846516129059575,0.505832527950686,0.0846227673906998,0.0932530292142057,6.4519180126588e-006,4.2244426682537,0.125564937638394,0.519606448195205,0.0154444873295224,0.25,0
0.349866589935365,10.4025271232352,0.442048629880376,0.34462399252389,-0.000112342267369767,0.745606033438757,0.000530584683870695,0.0925202107197699,0.0332099474309938,0.267612663000356,0.0878365558672545,0.504712661504162,0.0878099195157171,0.0904420118561212,6.15478233290006e-006,4.21093563148442,0.12575203675059,0.517945082672584,0.0154675005203226,0.25,0
0.367016054492752,10.366885260881,0.442681023035871,0.35721767923099,-0.00010345562950752,0.723199974185239,0.000505938993811045,0.0920946493021551,0.0343724536498787,0.266487068224961,0.09091154692884,0.503587066956112,0.0908870175991275,0.0877241568686695,5.86889232820812e-006,4.19706715670919,0.125933185338664,0.51623926027523,0.0154897817966557,0.25,0
0.384165519050139,10.3305541186375,0.443292496141399,0.369433646162847,-9.49833826677222e-005,0.701532549364661,0.000482239038539907,0.0916678954385373,0.0354948861932164,0.265358319469637,0.0938805350558838,0.502458318400097,0.0938580144958871,0.0850958982379334,5.59397284706292e-006,4.18289387971234,0.12610840388985,0.514495947204617,0.0155113336784516,0.25,0
0.399600037151787,10.2973789064198,0.443825348066069,0.380115074547239,-8.76995624521772e-005,0.682640461316295,0.000461706245973085,0.0912835372842079,0.0364719867964801,0.264341705851855,0.0964650981610482,0.501441704940062,0.0964443045948174,0.0828042879576665,5.35579245328779e-006,4.16992142311523,0.126261039472717,0.512900335043173,0.0155301078551442,0.25,0
0.415034555253435,10.2638397144234,0.444341752077915,0.390509092569706,-8.07271129382735e-005,0.664304365991428,0.000441904264611854,0.0908995227300184,0.037418802325233,0.263326001042419,0.0989695511920515,0.500426000269845,0.0989504107935946,0.0805801195947602,5.12608946949751e-006,4.15678231624859,0.126408980682996,0.511284224898577,0.0155483046240085,0.25,0
0.428925621544918,10.2334082485674,0.444792669071097,0.399625023241957,-7.47088675720101e-005,0.648261446227514,0.00042468928474964,0.0905546433887672,0.0382458698519618,0.26241380747505,0.101157253170088,0.499513806813373,0.101139539697604,0.0786341134273974,4.92639570309582e-006,4.14484229134901,0.12653820235503,0.509815601835928,0.0155641988896687,0.25,0
0.442816687836401,10.2028010427142,0.445230774497466,0.408521069299249,-6.89258035733758e-005,0.632640040225611,0.000408036729833131,0.0902108276496488,0.0390499241326453,0.261504427096252,0.103284080546076,0.498604426533048,0.103267738238061,0.0767392368793667,4.73322606606432e-006,4.13281638240478,0.126663761135949,0.508336415035788,0.0155796426197217,0.25,0
0.456707754127885,10.1720640444678,0.445656169401061,0.417203000782139,-6.33702008928129e-005,0.617427429636753,0.000391933336461444,0.0898684033016505,0.0398316468152132,0.26059872689633,0.105351836431306,0.497698726420259,0.105336811356685,0.0748939472149381,4.54642670295274e-006,4.12072490349142,0.126785694489544,0.506849163129444,0.0155946404222139,0.25,0
0.470598820419368,10.1412481765626,0.446069276666925,0.425676388469045,-5.80345413935639e-005,0.602611336191497,0.000376366732973924,0.089527672174787,0.0405916976112588,0.259697505205023,0.10736226591162,0.496797504805746,0.107348505921864,0.0730967550800285,4.36585410249751e-006,4.1085871014228,0.126904074381316,0.505356213475005,0.0156092011489019,0.25,0
0.484489886710851,10.1103874250343,0.446470027006865,0.433946644226424,-5.29114956856599e-005,0.588179987862623,0.00036131981983504,0.0891889105802862,0.0413307177472364,0.258801492855782,0.109317065176001,0.495901492523886,0.10930451986038,0.0713462325277362,4.19130991008646e-006,4.09642059779759,0.12701897327181,0.503859733529104,0.0156233337124326,0.25,0
0.498380953002334,10.0795353494034,0.446859408076219,0.442020072803502,-4.7992531670067e-005,0.574119783176939,0.000346775350435894,0.0888523269454889,0.0420494232584937,0.257911241131584,0.111218128307834,0.49501124085853,0.11120674927858,0.0696407296993627,4.02259406505637e-006,4.0842438567881,0.12713052594374,0.502361994384936,0.01563705469108,0.25,0
0.509560192396026,10.0547250451014,0.447164110976861,0.448377138226441,-4.41784312974802e-005,0.563068237420622,0.000335428713221784,0.0885832224547284,0.0426134098557732,0.257199469339091,0.112709940119631,0.494299469107713,0.112699465413574,0.0683001771991215,3.89097307337269e-006,4.07444441821566,0.127217878061788,0.501156663440527,0.0156477990015999,0.25,0
0.520739431789718,10.0299541578984,0.447461379834775,0.45461190502853,-4.04894608241863e-005,0.55224592661356,0.000324395309884035,0.0883158177909507,0.0431648737738869,0.256492193527996,0.114168627025433,0.493592193333645,0.114159026974274,0.0669874308982248,3.7629855946548e-006,4.06465359479534,0.127303102141614,0.499952392159827,0.0156582815634185,0.25,0
0.531918671183409,10.0052403963461,0.447751410875197,0.460726958318958,-3.69220958673189e-005,0.541647315698418,0.000313668319489007,0.0880502127023419,0.0437041192918053,0.255789677528734,0.115594993912991,0.492889677367121,0.115586239684063,0.0657018193942181,3.63855250607248e-006,4.05487861557554,0.127386235477532,0.498750069715791,0.0156685069637365,0.25,0
0.543097910577101,9.980601059594,0.448034390270575,0.466724434913594,-3.34733963222697e-005,0.531267710156278,0.000303243440163344,0.0877865162749174,0.0442314092056049,0.255092209869963,0.116989735935901,0.492192209737132,0.116981799393634,0.0644427732419566,3.51762390589479e-006,4.04512678134041,0.127467286904578,0.49755059410487,0.0156784762892631,0.25,0
