"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}"
0.199879980158466,7.43391873283629,0.341920759948148,0.448166427856052,-0.000273672820249721,1.74917590250949,0.0130547120286345,0.0885921995755391,0.0425947435063042,0.257223212668781,0.112655312868477,0.494323203789764,0.112590425043606,0.212175036974401,0.00015143465953216,60.4297647715744,2.77971427649358,7.43286106690365,0.341904856008711
0.201986338249542,7.44225086317693,0.343247682156036,0.451830691768272,-0.000246457310532238,1.73009390537915,0.012786960537851,0.0884355267877946,0.0429190820237952,0.256808818885659,0.113513799934225,0.493908811684789,0.11345536490649,0.209860390722491,0.000148328742239072,60.497581334869,2.79050334059943,7.44120250418889,0.34323191089373
0.204092696340618,7.45083583600534,0.344577584037191,0.455454945857408,-0.000219803141911409,1.71118659262846,0.0125217376532096,0.0882793966604847,0.0432393122662792,0.256395860400281,0.11436140790415,0.493495854672724,0.114309292579622,0.207566933685832,0.000145252156777231,60.5674543024931,2.80131668619291,7.44979687920665,0.344561952401728
0.206199054431695,7.45964349376029,0.345909053639103,0.459039559297461,-0.00019370486973834,1.69245508890944,0.0122591538821126,0.0881238336021377,0.0435554812998633,0.255984401773387,0.115198261391109,0.493084397325204,0.115152333966782,0.205294802284715,0.000142206185032507,60.6391383708282,2.81214283905681,7.45861401961187,0.345893569203987
0.208305412522771,7.46864568101914,0.347240781150705,0.462584903407066,-0.000168156826571634,1.67390030864514,0.0119993103656352,0.0879688609224299,0.0438676362254703,0.255574504659261,0.116024485105152,0.492674501307056,0.11598461512176,0.203044107438656,0.000139192000241368,60.7124045377939,2.82297113606029,7.46762575814865,0.347225449735416
0.210411770613847,7.47781613795011,0.348571544786762,0.466091351225487,-0.000143153143863001,1.65552297338576,0.0117422970433376,0.087814500864521,0.0441758241339653,0.255166227891252,0.116840203734329,0.492266225461828,0.116806262124035,0.200814936671693,0.000136210645702717,60.7870392069929,2.83379164651358,7.47680582246013,0.348556372521171
0.214624486796,7.49656862501911,0.351225860209486,0.472989057724864,-9.47542204084024e-005,1.61930231893325,0.0112370637056006,0.0875077023850894,0.0447804870817929,0.254354756968645,0.118440624037473,0.49145475590426,0.118418157811847,0.196421371286604,0.000130349938984967,60.9396556994487,2.85537415310701,7.49557765103219,0.351211020832162
0.218837202978152,7.51572322682964,0.353863823758748,0.479735680478962,-4.84580667226335e-005,1.58379562118333,0.0107440056236744,0.0872035960909762,0.0453698449281224,0.253550406724424,0.120000514738673,0.490650406446047,0.119989025331058,0.192114408849538,0.000124630465234623,61.0955422443917,2.87682385081992,7.51475169606018,0.35384933365085
0.223049919160305,7.53512573665583,0.356478435995228,0.486334226586345,-4.21263457154795e-006,1.54900303463565,0.0102635494359445,0.0869023247990857,0.045944269985649,0.252753554910909,0.121520861783656,0.489853554908805,0.121519862968,0.187894068101305,0.000119057173456957,61.2534445526981,2.89808380285124,7.53417367998187,0.356464307750703
0.227262635342458,7.55464404594276,0.359063777351479,0.492787700206237,3.80357761346975e-005,1.51492255509471,0.00979600766569726,0.0866040171045557,0.04650413122889,0.251964541663847,0.123002642326612,0.489064541492338,0.123011660609132,0.183760105932989,0.000113633688922088,61.4122880738691,2.91910585697179,7.55371143308591,0.35905002040753
